schedule_id,staff_id,date,shift_type,start_time,end_time,location,assignments,breaks,overtime,quality_metrics,notes
SCH000025,DOC0001,2025-06-08,Day,2025-06-08 08:00:02.452019,2025-06-08 20:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Quality Assurance', 'Patient Care'], 'patient_load': 6, 'supervision': 'Supervised', 'special_assignments': ['Rapid Response']}","{'lunch': 60, 'short_breaks': 3, 'break_duration': 11}","{'scheduled': True, 'hours': 2, 'reason': 'Special Project'}","{'patient_satisfaction': 3.7704091442865435, 'documentation_completion': 0.9142321518117085, 'protocol_adherence': 0.9470542210088382, 'team_collaboration': 4.7059340337918805}",Regular shift
SCH000026,DOC0001,2025-06-09,Day,2025-06-09 08:00:02.452019,2025-06-09 20:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Training'], 'patient_load': 3, 'supervision': 'Supervising', 'special_assignments': []}","{'lunch': 54, 'short_breaks': 2, 'break_duration': 10}","{'scheduled': True, 'hours': 1, 'reason': 'Emergency'}","{'patient_satisfaction': 4.869717071079637, 'documentation_completion': 0.8296080360247046, 'protocol_adherence': 0.9746393006901073, 'team_collaboration': 3.759100317665534}",Regular shift
SCH000027,DOC0001,2025-06-10,Night,2025-06-10 20:00:02.452019,2025-06-11 08:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Documentation'], 'patient_load': 7, 'supervision': 'Supervising', 'special_assignments': ['Emergency Response', 'Rapid Response']}","{'lunch': 57, 'short_breaks': 4, 'break_duration': 12}","{'scheduled': False, 'hours': 0, 'reason': 'Training'}","{'patient_satisfaction': 4.472702817146275, 'documentation_completion': 0.8314277797290766, 'protocol_adherence': 0.9929172491809656, 'team_collaboration': 4.880125998929524}",Training day
SCH000028,DOC0001,2025-06-11,Day,2025-06-11 08:00:02.452019,2025-06-11 20:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Quality Assurance', 'Patient Care'], 'patient_load': 8, 'supervision': 'Supervising', 'special_assignments': ['Emergency Response']}","{'lunch': 50, 'short_breaks': 4, 'break_duration': 11}","{'scheduled': False, 'hours': 0, 'reason': 'Special Project'}","{'patient_satisfaction': 3.6742588671608662, 'documentation_completion': 0.8294865393962682, 'protocol_adherence': 0.9740650282711764, 'team_collaboration': 4.48886681214247}",New protocol implementation
SCH000029,DOC0001,2025-06-12,Night,2025-06-12 20:00:02.452019,2025-06-13 08:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Quality Assurance'], 'patient_load': 9, 'supervision': 'Supervised', 'special_assignments': ['Rapid Response', 'Emergency Response']}","{'lunch': 54, 'short_breaks': 2, 'break_duration': 10}","{'scheduled': False, 'hours': 0, 'reason': 'Special Project'}","{'patient_satisfaction': 4.472890813453801, 'documentation_completion': 0.9045019596373246, 'protocol_adherence': 0.9411555283979298, 'team_collaboration': 4.296309642627022}",Quality improvement focus
SCH000030,DOC0001,2025-06-13,Day,2025-06-13 08:00:02.452019,2025-06-13 20:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Quality Assurance', 'Patient Care', 'Training'], 'patient_load': 3, 'supervision': 'Supervised', 'special_assignments': ['Code Team']}","{'lunch': 48, 'short_breaks': 2, 'break_duration': 14}","{'scheduled': True, 'hours': 0, 'reason': 'Special Project'}","{'patient_satisfaction': 3.9131511625219537, 'documentation_completion': 0.9230880184410825, 'protocol_adherence': 0.9161712824570171, 'team_collaboration': 4.062591150844303}",New protocol implementation
SCH000031,DOC0001,2025-06-14,On-Call,2025-06-14 00:00:02.452019,2025-06-14 23:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Quality Assurance', 'Documentation', 'Patient Care'], 'patient_load': 7, 'supervision': 'None', 'special_assignments': ['Code Team', 'Rapid Response']}","{'lunch': 32, 'short_breaks': 2, 'break_duration': 13}","{'scheduled': True, 'hours': 0, 'reason': 'Training'}","{'patient_satisfaction': 3.7351223982459474, 'documentation_completion': 0.9253101060455434, 'protocol_adherence': 0.9965032973252932, 'team_collaboration': 4.4841748220607585}",Regular shift
SCH000032,DOC0001,2025-06-15,On-Call,2025-06-15 00:00:02.452019,2025-06-15 23:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Training'], 'patient_load': 8, 'supervision': 'Supervised', 'special_assignments': []}","{'lunch': 56, 'short_breaks': 4, 'break_duration': 12}","{'scheduled': False, 'hours': 0, 'reason': 'Emergency'}","{'patient_satisfaction': 3.584643926310106, 'documentation_completion': 0.8350488663542397, 'protocol_adherence': 0.9807611169064837, 'team_collaboration': 3.5684226448716596}",Quality improvement focus
SCH000033,DOC0001,2025-06-16,Day,2025-06-16 08:00:02.452019,2025-06-16 20:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Documentation', 'Quality Assurance'], 'patient_load': 9, 'supervision': 'Supervising', 'special_assignments': []}","{'lunch': 33, 'short_breaks': 3, 'break_duration': 13}","{'scheduled': True, 'hours': 0, 'reason': 'Training'}","{'patient_satisfaction': 3.528802915224321, 'documentation_completion': 0.9621044790956883, 'protocol_adherence': 0.9818050175211397, 'team_collaboration': 3.8199354371428975}",New protocol implementation
SCH000034,DOC0001,2025-06-17,Day,2025-06-17 08:00:02.452019,2025-06-17 20:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Documentation', 'Patient Care', 'Training'], 'patient_load': 7, 'supervision': 'None', 'special_assignments': []}","{'lunch': 30, 'short_breaks': 3, 'break_duration': 11}","{'scheduled': True, 'hours': 0, 'reason': 'Training'}","{'patient_satisfaction': 4.262537888584854, 'documentation_completion': 0.906896835550723, 'protocol_adherence': 0.9797997516654928, 'team_collaboration': 4.2122798836433}",Quality improvement focus
SCH000035,DOC0001,2025-06-18,On-Call,2025-06-18 00:00:02.452019,2025-06-18 23:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Quality Assurance', 'Training', 'Patient Care'], 'patient_load': 7, 'supervision': 'None', 'special_assignments': []}","{'lunch': 46, 'short_breaks': 4, 'break_duration': 13}","{'scheduled': True, 'hours': 0, 'reason': 'Special Project'}","{'patient_satisfaction': 4.777324879792617, 'documentation_completion': 0.87209093751538, 'protocol_adherence': 0.9420309530448662, 'team_collaboration': 3.820998420194971}",Quality improvement focus
SCH000036,DOC0001,2025-06-19,Night,2025-06-19 20:00:02.452019,2025-06-20 08:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Patient Care'], 'patient_load': 6, 'supervision': 'Supervised', 'special_assignments': ['Code Team', 'Emergency Response']}","{'lunch': 51, 'short_breaks': 3, 'break_duration': 11}","{'scheduled': True, 'hours': 0, 'reason': 'Staff Shortage'}","{'patient_satisfaction': 4.3469550233626615, 'documentation_completion': 0.9694147339682693, 'protocol_adherence': 0.9800789088794819, 'team_collaboration': 3.5214922084583726}",Training day
SCH000037,DOC0001,2025-06-20,Night,2025-06-20 20:00:02.452019,2025-06-21 08:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Patient Care', 'Quality Assurance'], 'patient_load': 7, 'supervision': 'Supervised', 'special_assignments': ['Rapid Response', 'Emergency Response']}","{'lunch': 33, 'short_breaks': 2, 'break_duration': 12}","{'scheduled': False, 'hours': 0, 'reason': 'Emergency'}","{'patient_satisfaction': 4.358180124208289, 'documentation_completion': 0.9129109452746258, 'protocol_adherence': 0.9577528305547379, 'team_collaboration': 4.109983557021659}",Quality improvement focus
SCH000038,DOC0001,2025-06-21,Day,2025-06-21 08:00:02.452019,2025-06-21 20:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Documentation'], 'patient_load': 2, 'supervision': 'Supervised', 'special_assignments': ['Emergency Response', 'Code Team']}","{'lunch': 51, 'short_breaks': 3, 'break_duration': 12}","{'scheduled': True, 'hours': 4, 'reason': 'Emergency'}","{'patient_satisfaction': 4.511152772036489, 'documentation_completion': 0.9809404705709336, 'protocol_adherence': 0.9134800182196239, 'team_collaboration': 3.960333304724182}",New protocol implementation
SCH000039,DOC0001,2025-06-22,On-Call,2025-06-22 00:00:02.452019,2025-06-22 23:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Training', 'Quality Assurance', 'Patient Care'], 'patient_load': 9, 'supervision': 'None', 'special_assignments': []}","{'lunch': 43, 'short_breaks': 2, 'break_duration': 13}","{'scheduled': False, 'hours': 0, 'reason': 'Emergency'}","{'patient_satisfaction': 3.7955030035806514, 'documentation_completion': 0.8428663866820375, 'protocol_adherence': 0.9315339234935379, 'team_collaboration': 3.71002441647111}",Quality improvement focus
SCH000040,DOC0001,2025-06-23,Day,2025-06-23 08:00:02.452019,2025-06-23 20:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Patient Care', 'Training', 'Quality Assurance'], 'patient_load': 9, 'supervision': 'Supervised', 'special_assignments': ['Rapid Response', 'Code Team']}","{'lunch': 36, 'short_breaks': 3, 'break_duration': 10}","{'scheduled': True, 'hours': 0, 'reason': 'Special Project'}","{'patient_satisfaction': 3.83448079740399, 'documentation_completion': 0.868348414733046, 'protocol_adherence': 0.9879918723412147, 'team_collaboration': 4.677058615443078}",Quality improvement focus
SCH000041,DOC0001,2025-06-24,Night,2025-06-24 20:00:02.452019,2025-06-25 08:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Training', 'Quality Assurance'], 'patient_load': 2, 'supervision': 'None', 'special_assignments': ['Emergency Response', 'Rapid Response']}","{'lunch': 50, 'short_breaks': 3, 'break_duration': 11}","{'scheduled': True, 'hours': 0, 'reason': 'Staff Shortage'}","{'patient_satisfaction': 3.9192355978308275, 'documentation_completion': 0.8993447600637678, 'protocol_adherence': 0.9423644609523438, 'team_collaboration': 4.605254856205951}",Training day
SCH000042,DOC0001,2025-06-25,Day,2025-06-25 08:00:02.452019,2025-06-25 20:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Quality Assurance'], 'patient_load': 7, 'supervision': 'None', 'special_assignments': ['Rapid Response', 'Emergency Response']}","{'lunch': 40, 'short_breaks': 4, 'break_duration': 10}","{'scheduled': False, 'hours': 0, 'reason': 'Staff Shortage'}","{'patient_satisfaction': 4.1948666909297225, 'documentation_completion': 0.9121916744136487, 'protocol_adherence': 0.9517046125154658, 'team_collaboration': 3.9772466683745544}",Training day
SCH000043,DOC0001,2025-06-26,Night,2025-06-26 20:00:02.452019,2025-06-27 08:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Quality Assurance'], 'patient_load': 2, 'supervision': 'Supervised', 'special_assignments': ['Emergency Response']}","{'lunch': 50, 'short_breaks': 4, 'break_duration': 13}","{'scheduled': False, 'hours': 0, 'reason': 'Emergency'}","{'patient_satisfaction': 3.8393437353317315, 'documentation_completion': 0.9739025070035234, 'protocol_adherence': 0.9336711492892451, 'team_collaboration': 4.489934270326427}",Training day
SCH000044,DOC0001,2025-06-27,Night,2025-06-27 20:00:02.452019,2025-06-28 08:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Training', 'Quality Assurance', 'Patient Care'], 'patient_load': 2, 'supervision': 'None', 'special_assignments': []}","{'lunch': 38, 'short_breaks': 2, 'break_duration': 14}","{'scheduled': True, 'hours': 0, 'reason': 'Training'}","{'patient_satisfaction': 4.0796062879844985, 'documentation_completion': 0.991608223032086, 'protocol_adherence': 0.9030727251833808, 'team_collaboration': 4.739873268866088}",New protocol implementation
SCH000045,DOC0001,2025-06-28,Night,2025-06-28 20:00:02.452019,2025-06-29 08:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Documentation', 'Patient Care'], 'patient_load': 8, 'supervision': 'Supervising', 'special_assignments': ['Rapid Response', 'Code Team']}","{'lunch': 49, 'short_breaks': 2, 'break_duration': 10}","{'scheduled': False, 'hours': 0, 'reason': 'Training'}","{'patient_satisfaction': 4.198304067562705, 'documentation_completion': 0.8308722044775556, 'protocol_adherence': 0.9662085060139494, 'team_collaboration': 3.9134465071166047}",Regular shift
SCH000046,DOC0001,2025-06-29,Day,2025-06-29 08:00:02.452019,2025-06-29 20:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Patient Care', 'Quality Assurance'], 'patient_load': 4, 'supervision': 'None', 'special_assignments': []}","{'lunch': 36, 'short_breaks': 3, 'break_duration': 13}","{'scheduled': True, 'hours': 0, 'reason': 'Special Project'}","{'patient_satisfaction': 3.739332759408015, 'documentation_completion': 0.813672177723661, 'protocol_adherence': 0.9042796638899976, 'team_collaboration': 4.142235405031232}",Training day
SCH000047,DOC0001,2025-06-30,On-Call,2025-06-30 00:00:02.452019,2025-06-30 23:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Patient Care', 'Quality Assurance', 'Training'], 'patient_load': 2, 'supervision': 'Supervised', 'special_assignments': ['Rapid Response']}","{'lunch': 48, 'short_breaks': 3, 'break_duration': 15}","{'scheduled': False, 'hours': 0, 'reason': 'Training'}","{'patient_satisfaction': 4.323852720078518, 'documentation_completion': 0.8356613451299093, 'protocol_adherence': 0.9644634787896161, 'team_collaboration': 4.532459305819573}",New protocol implementation
SCH000048,DOC0001,2025-07-01,On-Call,2025-07-01 00:00:02.452019,2025-07-01 23:00:02.452019,Cardiology,"{'primary_role': 'Doctor', 'secondary_roles': ['Quality Assurance', 'Patient Care', 'Training'], 'patient_load': 3, 'supervision': 'Supervised', 'special_assignments': ['Emergency Response']}","{'lunch': 56, 'short_breaks': 2, 'break_duration': 11}","{'scheduled': False, 'hours': 0, 'reason': 'Emergency'}","{'patient_satisfaction': 4.208027982252489, 'documentation_completion': 0.9288717062316505, 'protocol_adherence': 0.9266832660794035, 'team_collaboration': 4.585642047221517}",Team building activities
